Date,Type,Category,Amount,Account,Notes
2025-08-15,Expense,Bills,944.07,Paytm Wallet,Electricity Bill
2025-08-16,Expense,Transportation,183.7,Credit Card,Ola Taxi
2025-08-16,Expense,Health,4219.88,Cash,Lab Diagnostics
2025-08-16,Expense,Health,2422.42,Paytm Wallet,Lab Diagnostics
2025-08-17,Expense,Social,1919.96,HDFC Bank,Party Contribution
2025-08-17,Expense,Subscriptions,508.24,Cash,YouTube Premium
2025-08-18,Expense,Uncategorized,182.42,HDFC Bank,Miscellaneous Expense
2025-08-18,Expense,Clothing,3359.34,HDFC Bank,Zara Clothing
2025-08-18,Income,Awards,3096.98,Paytm Wallet,Performance Excellence Award
2025-08-18,Expense,Electronics,17506.4,Cash,Monitor Keyboard
2025-08-18,Expense,Electronics,10881.66,Cash,Gadget Accessory
2025-08-18,Expense,Electronics,17088.04,Cash,Headphones Purchase
2025-08-18,Expense,Entertainment,801.5,HDFC Bank,Concert Event Ticket
2025-08-19,Expense,Transportation,1494.46,Paytm Wallet,Uber Cab Ride
2025-08-19,Income,Refunds,575.02,Paytm Wallet,Flight Cancellation Refund
2025-08-20,Expense,Uncategorized,635.48,Paytm Wallet,Cash Withdrawal
2025-08-20,Expense,Travel,24419.42,ICICI Bank,Weekend Getaway
2025-08-20,Expense,Electronics,3054.71,Cash,Gadget Accessory
2025-08-21,Income,Lottery,1093.92,ICICI Bank,Scratch Card Cash Win
2025-08-22,Income,Salary,66670.18,Paytm Wallet,Monthly Direct Payroll
2025-08-22,Expense,Entertainment,1848.79,ICICI Bank,PVR Movie Pass
2025-08-23,Expense,Tax,14002.99,Paytm Wallet,Income Tax Advance
2025-08-23,Expense,Telephone,528.07,Paytm Wallet,Mobile Prepaid Recharge
2025-08-24,Expense,Uncategorized,641.13,Paytm Wallet,Cash Withdrawal
2025-08-24,Expense,Bills,3934.65,Cash,Piped Gas Bill
2025-08-24,Expense,Social,784.58,ICICI Bank,Party Contribution
2025-08-25,Income,Awards,5266.87,Paytm Wallet,Hackathon Prize Money
2025-08-25,Income,Freelance,20629.09,ICICI Bank,Technical Writing Contract
2025-08-26,Expense,Clothing,4227.66,ICICI Bank,Zara Clothing
